date,Fighter_dims,weight_class,avg_KD,avg_opp_KD,avg_SUB_ATT,avg_opp_SUB_ATT,avg_REV,avg_opp_REV,avg_SIG_STR_att,avg_SIG_STR_landed,avg_opp_SIG_STR_att,avg_opp_SIG_STR_landed,avg_TOTAL_STR_att,avg_TOTAL_STR_landed,avg_opp_TOTAL_STR_att,avg_opp_TOTAL_STR_landed,avg_TD_att,avg_TD_landed,avg_opp_TD_att,avg_opp_TD_landed,avg_HEAD_att,avg_HEAD_landed,avg_opp_HEAD_att,avg_opp_HEAD_landed,avg_BODY_att,avg_BODY_landed,avg_opp_BODY_att,avg_opp_BODY_landed,avg_LEG_att,avg_LEG_landed,avg_opp_LEG_att,avg_opp_LEG_landed,avg_DISTANCE_att,avg_DISTANCE_landed,avg_opp_DISTANCE_att,avg_opp_DISTANCE_landed,avg_CLINCH_att,avg_CLINCH_landed,avg_opp_CLINCH_att,avg_opp_CLINCH_landed,avg_GROUND_att,avg_GROUND_landed,avg_opp_GROUND_att,avg_opp_GROUND_landed,avg_CTRL_time(seconds),avg_opp_CTRL_time(seconds),Stance_Open Stance,Stance_Orthodox,Stance_Sideways,Stance_Southpaw,Stance_Switch,x,y,cluster,specific_cluster
2011-01-22,Will Campuzano,Bantamweight,-0.20572051909552633,-0.28320081935337404,-0.4683254209550001,0.26632280457452034,1.5859488243781956,-0.42112565482948977,-1.1406467521987433,-1.16055541416289,-1.2360804428327063,-1.1209893485859428,-1.2158309689198161,-1.0568873424856682,-0.8767152140866653,-0.4190489144773446,-0.5166220697965879,-0.32527117889022766,1.4787021084400855,3.187881222503348,-0.8869141551238116,-0.8482832012127187,-1.1985706378889964,-1.152642669352737,-1.1190546172788305,-0.9145335110876801,-1.027849950679722,-0.7445309547026527,-1.0286390442930473,-0.9916799275875919,-0.09093355698279897,0.0376295218903695,-0.9131109727292157,-0.9663740244861718,-0.9001430814527103,-0.7202625773972018,-0.944662697618834,-0.8765079219467307,-0.8265444860651405,-0.8709725227506597,-0.19982735071590482,-0.30896516032476223,-0.5747953954384809,-0.5270514581741248,-0.022184131188781094,2.006501406593841,0.0,1.0,0.0,0.0,0.0,6.569101,8.20951,1,1_Bantamweight
2011-04-30,Ivan Menjivar,Bantamweight,-0.20572051909552633,-0.28320081935337404,0.6886140421988511,-0.44498579677596783,-0.41176979335099034,-0.42112565482948977,-1.7670946786015893,-1.4211949167035265,-1.33502104586476,-1.2891859585777254,-1.3538338454348429,-0.5414864715717517,-0.5796233621580321,-0.18000440445441973,-0.5321998859191552,-0.8300122783084642,0.8298666475567688,2.508131670847239,-1.638049719948641,-1.1910490426081142,-1.1762533100158594,-1.022200490556975,-0.8479323115078886,-0.6801878293335748,-0.7409862196365432,-0.631130800933716,-1.1439503920066705,-1.1338620787622147,-1.2200948833874345,-1.1865230829505606,-1.5578155699135878,-1.4237882455441988,-1.6460639382252444,-1.3922601412909053,-0.46412084801411363,-0.3415909163167483,-0.6609786221038254,-0.635688866441172,-0.502148547473831,-0.4259559350494097,1.3158328554696344,0.22034722138448612,-1.1533302186168346,3.9005672889122693,0.0,1.0,0.0,0.0,0.0,6.4549475,8.148705,1,1_Bantamweight
2011-05-28,Chris Cariaso,Bantamweight,-0.20572051909552633,-0.28320081935337404,-0.4683254209550001,-0.44498579677596783,-0.41176979335099034,-0.42112565482948977,0.9217935601777082,0.3890476476654733,0.8428138431830906,0.48258647608683075,0.4276734373381125,-0.294359014929884,0.5723616042987402,-0.06392271498146126,-0.02851716462230626,-0.8300122783084642,-0.8788312630047003,-0.8445313720667693,1.0966475911294238,0.45490574033017395,0.8170597072471778,0.27553195489826343,-0.00860687555742551,0.30279730061876603,1.5528954432929623,1.6982417694257859,-0.24913433374888955,-0.3063619589258499,-0.9766978863624363,-0.8896660762766359,1.382707705269918,1.0702182145129029,1.0681722119037749,0.8584408628789777,-0.6243014645490205,-0.4485743174427448,-0.15647949736307654,-0.1651215538221965,-0.5852226440333741,-0.5361317131881571,-0.517485155004629,-0.4462980376241091,-1.0009478441446615,-1.1714614832021797,0.0,0.0,0.0,1.0,0.0,2.7010899,8.635893,0,0_Bantamweight
2011-05-28,Demetrious Johnson,Bantamweight,-0.20572051909552633,-0.28320081935337404,-0.4683254209550001,-0.44498579677596783,-0.41176979335099034,-0.42112565482948977,-0.29420048411101857,-0.5007325958379321,-0.8736153490325879,-1.2153621071333693,-0.25496019437862805,-0.2696462692656976,-1.3476133397958807,-1.6310255228664148,2.741737802510386,4.065976386048836,-0.5940482779111221,-0.8445313720667693,-0.4074359299635114,-0.6789742212495375,-0.6189830041143652,-0.8831577285439152,-0.00860687555742551,0.17992415937472472,-0.9404541903260629,-0.8899499754181025,0.42197770994445605,0.10738810099234485,-1.0983963848749356,-1.0380945796135983,-0.20627071051247214,-0.5388182113303902,-0.6021269574063911,-0.8728676018670877,0.41687254292788084,0.4072928915652364,-0.492812247190245,-0.635688866441172,-0.46061149919405947,-0.370868045980036,-0.5766244456650885,-0.612959352376256,0.13019824328339197,-0.9998514871531946,0.0,1.0,0.0,0.0,0.0,6.1322417,7.120804,1,1_Bantamweight
2011-05-28,Michael McDonald,Bantamweight,-0.20572051909552633,-0.28320081935337404,1.2670837737757765,-0.44498579677596783,-0.41176979335099034,3.725909326390632,-0.20856710071040496,-0.10186559012950988,-0.26455982921412224,-0.144916261190197,-0.5213538067558913,-0.5661992172359384,-0.2870557516293294,-0.20902482682265908,0.22332419602611822,1.6179820538701641,-1.1636142480982785,-0.8445313720667693,-0.11443264663371994,-0.02059230807422231,-0.3403478511636174,-0.32698668049167134,-0.3816404026465165,-0.1886952643573989,0.5555555898453539,0.7923746587304216,-0.24913433374888955,-0.16844527228645576,-0.48990389231243964,-0.4443805662657487,-0.005365393574468983,0.26570000159125423,-0.05168745842917792,0.20920018859920272,-0.30394023147920685,-0.3415909163167483,-0.492812247190245,-0.7533306945959158,-0.33600035435474485,-0.370868045980036,-0.3400672830232502,-0.19630606549588867,0.21225029107610013,0.32218107500195015,0.0,1.0,0.0,0.0,0.0,6.1492867,5.4518633,1,1_Bantamweight
2011-05-28,Miguel Torres,Bantamweight,-0.20572051909552633,-0.28320081935337404,-0.4683254209550001,-0.44498579677596783,-0.41176979335099034,-0.42112565482948977,1.178693710379552,0.5731401118385929,0.41832060209749344,-1.436833661466437,0.6441182473946407,-0.1955080322731355,-0.08591551939084408,-1.834168479444092,-1.0358826072160041,-0.8300122783084642,-1.1636142480982785,-0.8445313720667693,1.5849863966790785,0.9304037887345668,0.6884588674237553,-1.022200490556975,-0.8479323115078886,-0.6801878293335748,-0.44178426360225437,-1.2781787371446822,-0.36098634103111216,-0.16844527228645576,-0.6116023908249388,-1.0380945796135983,1.6566695010944685,1.4322514103276431,0.6695780919547588,-1.1325638715789985,-0.6243014645490205,-0.7695245208207343,-0.15647949736307654,-0.635688866441172,-0.5852226440333741,-0.5361317131881571,-0.6357637363255482,-0.612959352376256,-1.1943562425131884,-1.1651055574225877,0.0,1.0,0.0,0.0,0.0,5.691993,2.917282,1,1_Bantamweight
2011-06-04,Reuben Duran,Bantamweight,-0.20572051909552633,-0.28320081935337404,-0.4683254209550001,-0.44498579677596783,-0.41176979335099034,-0.42112565482948977,0.4079932597740198,0.3890476476654733,-0.3752971964538423,-0.2187401126345563,0.6108190458474817,0.5952998289808407,-0.12248647070693323,0.11019981922797879,-0.5321998859191552,-0.8300122783084642,-0.024482307723965743,1.3905773232092364,0.4715739200258667,0.2720218755592514,-0.597549530810462,-0.512377029842418,0.08465150621484731,0.5485435831068485,-0.7409862196365432,-0.37231162644932947,-0.1372823264666569,0.10738810099234485,1.8223675794250667,1.188332970440851,0.5425581980746308,0.5070554654677492,-0.2984361993499971,-0.18034421596866157,0.577053159462795,0.9422098971952186,-0.4087290597334548,-0.2827633819769404,-0.5436855957536025,-0.4810438241187835,0.014768460939512734,0.053685906632331755,-0.8427046091158665,0.4429436648141987,0.0,1.0,0.0,0.0,0.0,4.8345375,6.0807896,1,1_Bantamweight
2011-07-02,Brian Bowles,Bantamweight,-0.20572051909552633,-0.28320081935337404,2.0108305715175305,-0.44498579677596783,-0.41176979335099034,-0.42112565482948977,2.436281112320006,0.8317461924627337,1.8025376925940086,0.8833445267847673,1.9380300789413525,0.11869687688581029,1.3638614792112147,0.11434559385201427,0.04343750984866885,1.2682685778446392,-1.1636142480982785,-0.8445313720667693,2.938382514916693,1.3640998109056086,1.5151785520028953,0.1497313606959705,0.19123251395459112,-0.24135518203341969,-0.1568300197600869,-0.16895370364016035,-1.1439503920066705,-1.1338620787622147,3.473990059237574,3.2663320171583505,2.209811412664036,1.2943340023982184,2.182608832985719,1.489131803607901,-0.944662697618834,-0.8765079219467307,-0.5528716668022392,-0.3667932592303304,1.3729524891558718,0.17214114627522215,-0.6357637363255482,-0.612959352376256,-0.9934124520004328,-0.681147208776508,0.0,1.0,0.0,0.0,0.0,5.5675273,2.0312467,1,1_Bantamweight
2011-07-02,Takeya Mizugaki,Bantamweight,-0.20572051909552633,-0.28320081935337404,-0.4683254209550001,-0.44498579677596783,-0.41176979335099034,-0.42112565482948977,-0.46546725091224744,-0.3473222090270016,0.565970425083787,0.6671461046977233,-0.2716097951522068,-0.09665704961638955,0.8466437391693993,0.9227716455386953,-0.02851716462230626,1.1283831874344383,-0.5940482779111221,-0.8445313720667693,-0.661372108849333,-0.5692439023869829,0.6455919208159483,0.5536174789243833,-0.754673929735616,-0.43444154684549235,0.15661964846630544,0.6629650714882281,1.6523497900489148,1.0728049074681039,-0.12480839677493118,0.1493334470821142,-0.3341195485639293,-0.2572368368078137,0.6126360748191837,0.6420273047857181,-0.46412084801411363,-0.3415909163167483,0.6843523772048334,1.1289385558799965,-0.1283151129558835,-0.09542860063316734,-0.5766244456650885,-0.5296286950001825,0.2943023388688089,-0.7901059364266576,0.0,1.0,0.0,0.0,0.0,5.160425,5.1778107,1,1_Bantamweight
2011-07-02,Urijah Faber,Bantamweight,-0.20572051909552633,-0.28320081935337404,-0.4683254209550001,-0.44498579677596783,-0.41176979335099034,-0.42112565482948977,-0.15718707067003507,-0.16322974485388214,-0.7628779817928677,-1.399921735744259,-0.4547554036615755,-0.4920609802433787,-1.0733312049252202,-1.514943833393454,1.7343723599166878,0.14918545456298707,-0.3092652928175439,-0.2857541982477679,-0.09489909441173387,0.015984464879964848,-0.49038216429094306,-1.0685480778946659,0.3644266515316739,0.17992415937472472,-1.2396561463603428,-1.148769149902489,-0.9202463774422251,-0.9959453921228203,-0.733300889337438,-0.8896660762766359,-0.681137823275026,-0.4985923006843085,-0.5072235955137675,-1.1758465831976497,-0.46412084801411363,-0.23460751519075188,-0.5768954346470353,-0.5180470382864281,1.408555673395678,0.5105381791299536,-0.4583458643441694,-0.5296286950001825,0.599067087813155,-0.5168011279041996,0.0,1.0,0.0,0.0,0.0,6.3163733,6.6036673,1,1_Bantamweight
