Unnamed: 0,Fighter_dims,weight_class,avg_KD,avg_opp_KD,avg_SUB_ATT,avg_opp_SUB_ATT,avg_REV,avg_opp_REV,avg_SIG_STR_att,avg_SIG_STR_landed,avg_opp_SIG_STR_att,avg_opp_SIG_STR_landed,avg_TOTAL_STR_att,avg_TOTAL_STR_landed,avg_opp_TOTAL_STR_att,avg_opp_TOTAL_STR_landed,avg_TD_att,avg_TD_landed,avg_opp_TD_att,avg_opp_TD_landed,avg_HEAD_att,avg_HEAD_landed,avg_opp_HEAD_att,avg_opp_HEAD_landed,avg_BODY_att,avg_BODY_landed,avg_opp_BODY_att,avg_opp_BODY_landed,avg_LEG_att,avg_LEG_landed,avg_opp_LEG_att,avg_opp_LEG_landed,avg_DISTANCE_att,avg_DISTANCE_landed,avg_opp_DISTANCE_att,avg_opp_DISTANCE_landed,avg_CLINCH_att,avg_CLINCH_landed,avg_opp_CLINCH_att,avg_opp_CLINCH_landed,avg_GROUND_att,avg_GROUND_landed,avg_opp_GROUND_att,avg_opp_GROUND_landed,avg_CTRL_time(seconds),avg_opp_CTRL_time(seconds),Stance_Open Stance,Stance_Orthodox,Stance_Sideways,Stance_Southpaw,Stance_Switch,x,y,cluster,specific_cluster
43,Aisling Daly,WomenStrawweight,0.0,0.0,0.05089415217895,0.012573344509638013,0.0,0.0,0.07892045240407297,0.06690914237924808,0.05665983564218139,0.0483055418443589,0.17513797592848518,0.14557441977274388,0.10930489478346851,0.11752341533716955,0.12693499337718,0.059276381852041996,0.07223879913831663,0.05631256275943992,0.06274121921327938,0.05257510391962201,0.036940775430944144,0.024721415749569067,0.148190954630109,0.101487917287705,0.027056292536954633,0.019085307067106254,0.01964585079631126,0.01571668063704875,0.08599652695330201,0.1353268783489579,0.050604095881009725,0.04525709250654806,0.0745416933218929,0.0664850880781565,0.06322775919828105,0.05104291529942826,0.040591189664675016,0.03701426695541957,0.036033388116140125,0.03354980274582389,0.006625007383463629,0.00555683070294743,0.5857675133174056,0.3027990986597145,0.0,1.0,0.0,0.0,0.0,15.545701,6.6769924,1,1_WomenStrawweight
68,Aleksandra Albu,WomenStrawweight,0.0,0.0,0.022025203579974,0.013020833333331015,0.0,0.05070819581957936,0.14577040877370898,0.12436406760398634,0.12963158652097523,0.11031554838710651,0.17614879298889172,0.12021886979014194,0.1798476888615823,0.17391747520233747,0.094465483322234,0.045275174838912,0.20144492464376318,0.03777275439814642,0.12181154217453061,0.10148781014453222,0.08228795098836976,0.04873310682783429,0.19737361777276902,0.134600756837773,0.07451955028330952,0.06603045500101352,0.04978635199474784,0.06638180265966374,0.1873498887439988,0.3004586093640973,0.14362378403819928,0.1699780748939658,0.17307355881179598,0.13429936907112988,0.1176403193491249,0.12854279512121192,0.10191847750505142,0.10750058784999339,0.010984151113092618,0.010526478150047041,0.010120333199286211,0.008602283219393337,0.19486979137291432,0.3930078685745305,0.0,1.0,0.0,0.0,0.0,13.117135,6.933802,1,1_WomenStrawweight
79,Alex Chambers,WomenStrawweight,0.0,0.0,0.02081771867894,0.07552059515658609,0.0,0.03727121464225612,0.08094169596611828,0.07004901996154396,0.16726909802382833,0.1167891244214973,0.10269427763115985,0.07412286945283487,0.29471913572357133,0.2634696654657537,0.108625782708794,0.05288266586505,0.11700553429252594,0.054160764536503224,0.048318377120794,0.037568795467489584,0.12038476262667654,0.07254848984559023,0.154273232556746,0.10244147847985699,0.11769472151340753,0.07759259522786702,0.17511444111546104,0.162131018772205,0.09773609795294777,0.11733722696860897,0.07046278381558387,0.09302797291663731,0.2179033003596481,0.14515691086512839,0.09760668479176343,0.07862221355845286,0.11101807221168625,0.0769234126869927,0.00645090852178486,0.00551459685926088,0.024313398918275008,0.02528136190921712,0.20462201130649343,0.48390036860589714,0.0,0.0,0.0,1.0,0.0,4.754472,21.975937,0,0_WomenStrawweight
103,Alexa Grasso,WomenStrawweight,0.0,0.0,0.007415641057952,0.007734069811398008,0.024061230532098722,0.026881374759052886,0.19095837470366056,0.12626511990826575,0.16692473187806056,0.0816804199834926,0.24265195612908877,0.14609829637774935,0.19546226771797065,0.11651691837027027,0.018133578826021998,0.00906678941301,0.11687600869025364,0.036819876740266315,0.14149051891529482,0.07296231030905942,0.13027734486614834,0.04905924158088955,0.28282874318011,0.19782621707901,0.10011880915627053,0.0640421431546744,0.219689253467117,0.2334919511884925,0.060151710456308266,0.06421264783233639,0.20091005433612996,0.19596774908140255,0.32187209610564865,0.1610325117225581,0.13764906726779694,0.10940627348165573,0.035487627227103816,0.032633744593593514,0.005355544303638183,0.005097968034611615,0.005066906744075641,0.004898019965757376,0.13087946964407204,0.16290897297581733,0.0,1.0,0.0,0.0,0.0,11.46401,5.6290503,1,1_WomenStrawweight
142,Amanda Cooper,WomenStrawweight,0.0,0.0065023983571806,0.067393104083348,0.08889071467155608,0.13021483174832596,0.0,0.11199669296996821,0.07217112615766921,0.11601191538349347,0.08941402227245111,0.17578239231503837,0.11133102806911761,0.15765024656825216,0.14153470618410616,0.055269012001396,0.023477863055982002,0.08957374377697865,0.08254729684821344,0.10452463313213689,0.06554103550140544,0.09134826685307615,0.0615343835223704,0.06687170136741401,0.054810499019188996,0.05424818692063989,0.04407036355102126,0.010542457355883755,0.014056609807844999,0.06674533940115826,0.08971220560791066,0.11567422311853368,0.0953867477737991,0.17366811841493673,0.12328253356514149,0.010188460583729563,0.010701604250282552,0.0052585144077772344,0.004907906348199706,0.02713085809677349,0.025720766115667416,0.03604572877081462,0.04005285037113771,0.29463263179606924,0.34357822477293826,0.0,0.0,0.0,0.0,1.0,13.365716,9.069096,1,1_WomenStrawweight
144,Amanda Lemos,WomenStrawweight,0.030623896617284554,0.0,0.009489237228298,0.007336737229926007,0.015931664680167733,0.026103840214524884,0.15063673081000825,0.13840034159000925,0.19036809746248615,0.13645687561239267,0.1640285059596482,0.11792463445726153,0.23372915098996547,0.19037231156519438,0.042766897843240004,0.028782697728314002,0.04684974859046272,0.007447797656575902,0.11142289499118456,0.09420033918085398,0.14180897374901666,0.08637444309266305,0.27543301254761,0.19919665438226203,0.11146095135416179,0.08412332509871215,0.12612170293815286,0.1632624037048775,0.12210344999264329,0.14496700005123786,0.1465233124056202,0.20627047256900732,0.2854654682622887,0.1968391338820635,0.08697561175476803,0.0895235576937427,0.14483304570880104,0.12787076570999162,0.024037076923341165,0.018362145711558,0.0016512843548155587,0.0013119526643165077,0.16596634212745043,0.252490186816277,0.0,0.0,0.0,1.0,0.0,4.752792,22.275904,0,0_WomenStrawweight
148,Amanda Ribas,WomenStrawweight,0.0,0.0027581979773214005,0.05197173490691599,0.0,0.02125011677084246,0.0980393000668371,0.13406989528983254,0.09276610411393837,0.09920281695337257,0.037278520072355235,0.21205618172274457,0.1508475253758918,0.13014500293926481,0.07598301712485034,0.126619763929506,0.065619860737888,0.03753838563889001,0.004027453552578602,0.10645632118037468,0.06121880772611636,0.08539236948175885,0.025697547098450787,0.20427464747110402,0.15798655124463298,0.030252208234349258,0.016688623031119506,0.07913692333001443,0.09433617863387625,0.03762244714539826,0.042550670699794124,0.1332940104191801,0.1308944707488107,0.19679735011712307,0.07231261733545617,0.034596273814680605,0.03726507053650151,0.009916227972426143,0.010295874760988597,0.03132678870844377,0.022347661821866555,0.005025375792441677,0.004844373776870538,0.47529938129985966,0.11384946244106683,0.0,1.0,0.0,0.0,0.0,15.299061,6.4097586,1,1_WomenStrawweight
192,Angela Hill,WomenStrawweight,0.004649262502140006,0.0003028542752456153,0.002423829606524,0.004671271509960005,0.017094009136492037,0.0,0.17884621728943575,0.13900929186183095,0.23783726097786875,0.12150111860938241,0.19648605747136694,0.12089518018825138,0.2618785706326794,0.14940711993897487,0.03842403220502,0.011641947393004,0.11006075563721873,0.02538929931072331,0.13325842715799738,0.09137615185397209,0.18210944648875943,0.07049449282893579,0.36940173929273795,0.25903188218733797,0.12949827647758164,0.07536150000322803,0.10049801700811974,0.11640050695091125,0.13696423420429654,0.18133516080714496,0.18344715018384622,0.2099566976069137,0.46043444464581673,0.26267981456864,0.13599279594740316,0.12815166324802219,0.05875948888376148,0.039644117977913305,0.008053280144138156,0.0062974618561609,0.002884735224078706,0.0026291889376700846,0.1285357610802721,0.18257876395478687,0.0,1.0,0.0,0.0,0.0,11.351003,4.8689284,1,1_WomenStrawweight
193,Angela Magana,WomenStrawweight,0.0,0.0077141133896256,0.006031363088056,0.036188178528345036,0.0,0.0,0.1258022878387907,0.050376657029250475,0.1964286884391428,0.14097646221892296,0.13008362324667982,0.042404120474084254,0.21914697166003957,0.16772334085964957,0.040316311486394,0.006031363088056,0.03347473529017491,0.03347473529017491,0.08442993420860938,0.01070208417102259,0.13572752386483786,0.08242383470972123,0.217772416566143,0.10031497118348699,0.1659479292320063,0.11017541214314402,0.20133443908323292,0.21487568690523998,0.09940188982710077,0.13085712370995772,0.15335604402150438,0.0918888697417042,0.38869794727454554,0.3209546748354598,0.026608765581020925,0.026888151722289005,0.030002517154242545,0.027137821433358196,0.0,0.0,0.0060668416944582295,0.0057297949336549536,0.15170792315310394,0.0694080874491375,0.0,1.0,0.0,0.0,0.0,12.47725,4.3127375,1,1_WomenStrawweight
196,Anna Elmose,WomenStrawweight,0.0,0.0398230088495571,0.0,0.0,0.0,0.0,0.042323970757983775,0.03919089759797713,0.13544739429695177,0.11640571817562961,0.1819930742593305,0.15676359039190899,0.15880039331366766,0.14874063989108224,0.442477876106194,0.0,0.0,0.0,0.012697191227395113,0.013716814159291891,0.08874139626352016,0.05820285908781481,0.221238938053097,0.088495575221238,0.1659292035398228,0.14933628318584066,0.08296460176991068,0.1106194690265475,0.0,0.0,0.021632251720747186,0.027812895069531943,0.1624687996369411,0.11859571495109443,0.11681415929203508,0.09734513274336237,0.1529246708396287,0.15158027812895064,0.0,0.0,0.0,0.0,0.5217391304347826,0.1538877254610552,0.0,1.0,0.0,0.0,0.0,15.463186,6.0022426,1,1_WomenStrawweight
